City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Mandalgovi,MN,45.7625,106.2708,70.66,29,99,6.93,overcast clouds
169,Upernavik,GL,72.7868,-56.1549,38.93,90,29,12.62,scattered clouds
170,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,40,4.61,scattered clouds
171,Umarkot,PK,25.3616,69.7362,93.58,53,91,5.66,overcast clouds
172,Ahipara,NZ,-35.1667,173.1667,57.11,95,100,5.7,moderate rain
173,Miguel Hidalgo,MX,19.4225,-99.2028,63.43,66,100,3.0,overcast clouds
174,Goundam,ML,16.4145,-3.6708,89.28,47,19,7.11,few clouds
175,Senador Guiomard,BR,-10.1522,-67.7392,73.15,94,95,2.21,overcast clouds
176,Beyneu,KZ,45.3167,55.2,85.91,16,100,9.73,overcast clouds
177,Kavieng,PG,-2.5744,150.7967,83.1,73,53,8.7,light rain
178,Koslan,RU,63.4564,48.8989,76.89,48,4,9.15,clear sky
179,North Platte,US,41.1239,-100.7654,73.29,73,75,9.22,broken clouds
180,Anzhero-Sudzhensk,RU,56.081,86.0285,74.53,49,10,1.05,clear sky
181,At-Bashi,KG,41.1702,75.8106,74.12,29,0,1.99,clear sky
182,Sabang,ID,5.8933,95.3214,82.31,76,95,18.43,overcast clouds
183,Mitchell,US,43.7094,-98.0298,69.12,76,11,11.01,few clouds
184,Ubinskoye,RU,55.3068,79.6802,71.64,62,96,5.1,overcast clouds
185,Portknockie,GB,57.7025,-2.8599,58.78,85,96,16.51,overcast clouds
186,Graaff-Reinet,ZA,-32.2522,24.5308,45.91,95,51,1.36,broken clouds
187,Haghartsin,AM,40.7761,44.9685,68.63,78,7,5.1,clear sky
188,Cervo,ES,43.6702,-7.4101,67.23,90,40,13.02,scattered clouds
189,Rio Gallegos,AR,-51.6226,-69.2181,30.25,100,40,3.44,mist
190,Yambio,SS,4.5721,28.3955,67.86,98,97,3.02,overcast clouds
191,Dzhebariki-Khaya,RU,62.2167,135.8,59.97,88,100,1.68,overcast clouds
192,Barcelona,ES,41.3888,2.159,81.32,62,20,8.05,few clouds
193,Grindavik,IS,63.8424,-22.4338,50.47,93,100,14.97,overcast clouds
194,Vanimo,PG,-2.6741,141.3028,84.49,68,58,6.91,broken clouds
195,Linxia,CN,35.6003,103.2064,87.71,39,74,5.01,broken clouds
196,Luancheng,CN,37.8792,114.6517,99.28,49,82,3.31,light rain
197,Thompson,CA,55.7435,-97.8558,56.89,63,70,8.25,broken clouds
198,Salalah,OM,17.0151,54.0924,75.29,100,100,9.22,mist
199,Asau,RO,46.4333,26.4,69.28,72,30,6.38,scattered clouds
200,Kyren,RU,51.6828,102.1408,66.56,44,5,2.62,clear sky
201,Shimoda,JP,34.6667,138.95,85.1,74,78,6.82,broken clouds
202,Pemberton,CA,50.3164,-122.8027,67.95,56,7,2.53,clear sky
203,Lishu,CN,43.3047,124.3278,76.1,90,100,10.58,overcast clouds
204,Jamestown,US,42.097,-79.2353,74.79,73,0,4.61,clear sky
205,Port Augusta,AU,-32.5,137.7667,61.77,39,5,7.23,clear sky
206,Yongchang,CN,30.0381,119.7317,98.2,43,41,3.67,scattered clouds
207,Korla,CN,41.7597,86.1469,91.74,21,59,5.37,broken clouds
208,Agadez,NE,19.75,10.25,88.79,17,99,8.59,overcast clouds
209,Lagoa,PT,39.05,-27.9833,73.8,83,13,10.8,light rain
210,Kaohsiung,TW,22.6163,120.3133,93.29,72,75,13.8,thunderstorm
211,Bilma,NE,18.6853,12.9164,90.46,36,100,8.28,overcast clouds
212,Tawau,MY,4.2498,117.8871,86.13,84,100,6.49,overcast clouds
213,Butembo,CD,0.15,29.2833,66.45,66,46,0.89,scattered clouds
214,Miandrivazo,MG,-19.5167,45.4667,75.15,43,0,1.05,clear sky
215,Makakilo City,US,21.3469,-158.0858,79.12,69,75,8.05,broken clouds
216,Torrington,US,41.8007,-73.1212,77.2,90,27,5.53,scattered clouds
217,Grand Gaube,MU,-20.0064,57.6608,75.38,70,7,5.99,clear sky
218,Sokolo,ML,14.7328,-6.1219,81.48,65,90,10.2,overcast clouds
219,Moron,AR,-34.6534,-58.6198,53.29,85,100,8.14,overcast clouds
220,Linares,CL,-35.85,-71.6,48.27,85,99,10.25,overcast clouds
221,Alpena,US,45.0617,-83.4327,75.52,91,0,0.0,clear sky
222,Toowoomba,AU,-27.55,151.9667,59.25,50,3,5.01,clear sky
223,Khorixas,NA,-20.3667,14.9667,62.91,41,9,4.32,clear sky
224,San Quintin,MX,30.4833,-115.95,71.33,85,79,6.98,broken clouds
225,Paldiski,EE,59.3567,24.0531,65.91,77,20,4.61,few clouds
226,Carauari,BR,-4.8828,-66.8958,71.85,97,80,0.74,broken clouds
227,Tighnabruaich,GB,55.9016,-5.2398,58.39,96,100,10.69,overcast clouds
228,Minab,IR,27.1467,57.0801,93.52,66,20,2.3,haze
229,Khatanga,RU,71.9667,102.5,63.27,55,96,15.93,overcast clouds
230,Mersing,MY,2.4312,103.8405,89.51,66,40,4.61,scattered clouds
231,Vila Velha,BR,-20.3297,-40.2925,65.95,87,20,2.3,few clouds
232,Kafue,ZM,-15.7691,28.1814,63.9,37,0,5.01,clear sky
233,Montes Claros,BR,-16.735,-43.8617,64.15,73,1,4.0,clear sky
234,Santa Maria,BR,-29.6842,-53.8069,49.28,94,93,5.84,overcast clouds
235,Souillac,MU,-20.5167,57.5167,73.78,73,40,11.5,scattered clouds
236,Buraydah,SA,26.326,43.975,99.05,16,4,10.51,clear sky
237,Amapa,BR,1.0,-52.0,67.5,97,83,0.54,broken clouds
238,Buala,SB,-8.145,159.5921,84.36,70,42,6.87,light rain
239,Ngunguru,NZ,-35.6167,174.5,58.62,94,100,8.08,moderate rain
240,Nishihara,JP,26.1842,127.7558,88.88,66,40,11.5,scattered clouds
241,Kysyl-Syr,RU,63.8986,122.7617,52.03,97,100,10.54,light rain
242,Fairbanks,US,64.8378,-147.7164,53.1,91,95,1.01,overcast clouds
243,Yuci,CN,37.6803,112.7319,99.84,35,53,2.04,broken clouds
244,West Bay,KY,19.3667,-81.4167,82.0,88,76,1.01,broken clouds
245,Kaitangata,NZ,-46.2817,169.8464,38.88,78,100,8.59,overcast clouds
246,Hobyo,SO,5.3505,48.5268,80.08,66,42,24.9,scattered clouds
247,Burnie,AU,-41.0667,145.9167,48.94,57,21,4.45,few clouds
248,Chokurdakh,RU,70.6333,147.9167,55.24,41,98,11.9,overcast clouds
249,Innisfail,AU,-17.5333,146.0333,75.58,82,99,8.72,overcast clouds
250,Santiago Del Estero,AR,-27.7951,-64.2615,51.15,66,0,6.42,clear sky
251,Zhanakorgan,KZ,43.9098,67.2495,85.75,26,84,5.23,broken clouds
252,Sampit,ID,-2.5333,112.95,90.75,43,64,4.03,broken clouds
253,Ushtobe,KZ,45.2514,77.9838,90.9,19,56,14.32,broken clouds
254,Svetlyy,RU,54.675,20.1347,64.45,67,47,10.16,scattered clouds
255,Anadyr,RU,64.75,177.4833,57.7,93,40,8.95,scattered clouds
